                                                                                                                                
{'loss': 12.584, 'grad_norm': 3.5304293632507324, 'learning_rate': 0.0002977941176470588, 'epoch': 0.01}
{'loss': 10.5337, 'grad_norm': 4.799691200256348, 'learning_rate': 0.00029558823529411763, 'epoch': 0.01}
{'loss': 7.7765, 'grad_norm': 2.137526273727417, 'learning_rate': 0.0002933823529411764, 'epoch': 0.02}
{'loss': 7.2062, 'grad_norm': 1.651811957359314, 'learning_rate': 0.00029117647058823524, 'epoch': 0.03}
{'loss': 6.8783, 'grad_norm': 1.2007780075073242, 'learning_rate': 0.00028897058823529407, 'epoch': 0.04}
{'loss': 6.7884, 'grad_norm': 0.9126853942871094, 'learning_rate': 0.00028676470588235296, 'epoch': 0.04}
{'loss': 6.8427, 'grad_norm': 0.9913508892059326, 'learning_rate': 0.00028455882352941173, 'epoch': 0.05}
{'loss': 6.8641, 'grad_norm': 0.9271286725997925, 'learning_rate': 0.00028235294117647056, 'epoch': 0.06}
{'loss': 7.0031, 'grad_norm': 1.1925287246704102, 'learning_rate': 0.0002801470588235294, 'epoch': 0.07}
{'loss': 6.9935, 'grad_norm': 0.7063828706741333, 'learning_rate': 0.0002779411764705882, 'epoch': 0.07}
{'loss': 6.6879, 'grad_norm': 0.7885789275169373, 'learning_rate': 0.000275735294117647, 'epoch': 0.08}
{'loss': 6.7835, 'grad_norm': 1.1458699703216553, 'learning_rate': 0.00027352941176470583, 'epoch': 0.09}
{'loss': 6.7283, 'grad_norm': 0.7706817388534546, 'learning_rate': 0.00027132352941176466, 'epoch': 0.1}
{'loss': 6.5404, 'grad_norm': 0.8498421907424927, 'learning_rate': 0.0002691176470588235, 'epoch': 0.1}
{'loss': 6.6681, 'grad_norm': 0.6640305519104004, 'learning_rate': 0.0002669117647058823, 'epoch': 0.11}
{'loss': 6.5988, 'grad_norm': 0.7173929214477539, 'learning_rate': 0.00026470588235294115, 'epoch': 0.12}
{'loss': 6.5798, 'grad_norm': 1.0834153890609741, 'learning_rate': 0.0002625, 'epoch': 0.12}
{'loss': 6.6782, 'grad_norm': 1.1358247995376587, 'learning_rate': 0.0002602941176470588, 'epoch': 0.13}
{'loss': 6.8474, 'grad_norm': 0.8461622595787048, 'learning_rate': 0.00025808823529411764, 'epoch': 0.14}
{'loss': 6.6955, 'grad_norm': 0.8378052115440369, 'learning_rate': 0.0002558823529411764, 'epoch': 0.15}
{'loss': 6.5469, 'grad_norm': 0.9163944721221924, 'learning_rate': 0.00025367647058823525, 'epoch': 0.15}
{'loss': 6.7353, 'grad_norm': 0.9070048928260803, 'learning_rate': 0.0002514705882352941, 'epoch': 0.16}
{'loss': 6.5918, 'grad_norm': 0.7798537611961365, 'learning_rate': 0.0002492647058823529, 'epoch': 0.17}
{'loss': 6.8353, 'grad_norm': 0.8761706948280334, 'learning_rate': 0.00024705882352941174, 'epoch': 0.18}
{'loss': 6.514, 'grad_norm': 0.8122524619102478, 'learning_rate': 0.0002448529411764706, 'epoch': 0.18}
{'loss': 6.7014, 'grad_norm': 0.9965335130691528, 'learning_rate': 0.0002426470588235294, 'epoch': 0.19}
{'loss': 6.815, 'grad_norm': 0.8247557282447815, 'learning_rate': 0.00024044117647058823, 'epoch': 0.2}
{'loss': 6.5916, 'grad_norm': 0.9864927530288696, 'learning_rate': 0.000238235294117647, 'epoch': 0.21}
{'loss': 6.5831, 'grad_norm': 1.191152811050415, 'learning_rate': 0.00023602941176470587, 'epoch': 0.21}
{'loss': 6.6758, 'grad_norm': 0.8748899698257446, 'learning_rate': 0.0002338235294117647, 'epoch': 0.22}
{'loss': 6.4608, 'grad_norm': 1.0832237005233765, 'learning_rate': 0.00023161764705882353, 'epoch': 0.23}
{'loss': 6.7676, 'grad_norm': 1.1351852416992188, 'learning_rate': 0.0002294117647058823, 'epoch': 0.24}
{'loss': 6.6556, 'grad_norm': 1.0137608051300049, 'learning_rate': 0.00022720588235294114, 'epoch': 0.24}
{'loss': 6.6602, 'grad_norm': 0.8966169357299805, 'learning_rate': 0.000225, 'epoch': 0.25}
{'loss': 6.5085, 'grad_norm': 0.8143157958984375, 'learning_rate': 0.00022279411764705882, 'epoch': 0.26}
{'loss': 6.5234, 'grad_norm': 0.8557376265525818, 'learning_rate': 0.00022058823529411765, 'epoch': 0.26}
{'loss': 6.6133, 'grad_norm': 0.8643295764923096, 'learning_rate': 0.00021838235294117643, 'epoch': 0.27}
{'loss': 6.6933, 'grad_norm': 1.31536066532135, 'learning_rate': 0.00021617647058823526, 'epoch': 0.28}
{'loss': 6.704, 'grad_norm': 0.8508630990982056, 'learning_rate': 0.0002139705882352941, 'epoch': 0.29}
{'loss': 6.5261, 'grad_norm': 0.9687913060188293, 'learning_rate': 0.00021176470588235295, 'epoch': 0.29}
{'loss': 6.5842, 'grad_norm': 1.037387728691101, 'learning_rate': 0.00020955882352941173, 'epoch': 0.3}
{'loss': 6.8005, 'grad_norm': 1.1389997005462646, 'learning_rate': 0.00020735294117647056, 'epoch': 0.31}
{'loss': 6.5454, 'grad_norm': 1.1673026084899902, 'learning_rate': 0.0002051470588235294, 'epoch': 0.32}
{'loss': 6.916, 'grad_norm': 0.9894219636917114, 'learning_rate': 0.00020294117647058822, 'epoch': 0.32}
{'loss': 6.6059, 'grad_norm': 0.8614139556884766, 'learning_rate': 0.00020073529411764702, 'epoch': 0.33}
{'loss': 6.5485, 'grad_norm': 0.9949348568916321, 'learning_rate': 0.00019852941176470585, 'epoch': 0.34}
{'loss': 6.4714, 'grad_norm': 1.0701839923858643, 'learning_rate': 0.00019632352941176468, 'epoch': 0.35}
{'loss': 6.5373, 'grad_norm': 0.8516948223114014, 'learning_rate': 0.0001941176470588235, 'epoch': 0.35}
{'loss': 6.4653, 'grad_norm': 0.9680356979370117, 'learning_rate': 0.00019191176470588232, 'epoch': 0.36}
{'loss': 6.6065, 'grad_norm': 1.3973673582077026, 'learning_rate': 0.00018970588235294115, 'epoch': 0.37}
{'loss': 6.6434, 'grad_norm': 1.0254486799240112, 'learning_rate': 0.00018749999999999998, 'epoch': 0.38}
{'loss': 6.5093, 'grad_norm': 0.8925785422325134, 'learning_rate': 0.0001852941176470588, 'epoch': 0.38}
{'loss': 6.5476, 'grad_norm': 1.1395814418792725, 'learning_rate': 0.00018308823529411764, 'epoch': 0.39}
{'loss': 6.646, 'grad_norm': 1.070598840713501, 'learning_rate': 0.00018088235294117644, 'epoch': 0.4}
{'loss': 6.6074, 'grad_norm': 0.9367979168891907, 'learning_rate': 0.00017867647058823527, 'epoch': 0.4}
{'loss': 6.3754, 'grad_norm': 0.7569223046302795, 'learning_rate': 0.0001764705882352941, 'epoch': 0.41}
{'loss': 6.3571, 'grad_norm': 0.7021507024765015, 'learning_rate': 0.00017426470588235293, 'epoch': 0.42}
{'loss': 6.681, 'grad_norm': 0.9110506176948547, 'learning_rate': 0.00017205882352941174, 'epoch': 0.43}
{'loss': 6.6813, 'grad_norm': 1.5915967226028442, 'learning_rate': 0.00016985294117647057, 'epoch': 0.43}
{'loss': 6.5439, 'grad_norm': 1.2974313497543335, 'learning_rate': 0.0001676470588235294, 'epoch': 0.44}
{'loss': 6.6562, 'grad_norm': 1.0467803478240967, 'learning_rate': 0.00016544117647058823, 'epoch': 0.45}
{'loss': 6.382, 'grad_norm': 0.8937335014343262, 'learning_rate': 0.00016323529411764703, 'epoch': 0.46}
{'loss': 6.5564, 'grad_norm': 1.1806637048721313, 'learning_rate': 0.00016102941176470586, 'epoch': 0.46}
{'loss': 6.6959, 'grad_norm': 1.0999300479888916, 'learning_rate': 0.0001588235294117647, 'epoch': 0.47}
{'loss': 6.4755, 'grad_norm': 0.963569164276123, 'learning_rate': 0.00015661764705882352, 'epoch': 0.48}
{'loss': 6.4561, 'grad_norm': 0.8934038281440735, 'learning_rate': 0.00015441176470588233, 'epoch': 0.49}
{'loss': 6.5301, 'grad_norm': 0.8707853555679321, 'learning_rate': 0.00015220588235294116, 'epoch': 0.49}
{'loss': 6.5054, 'grad_norm': 0.9512493014335632, 'learning_rate': 0.00015, 'epoch': 0.5}
{'loss': 6.5541, 'grad_norm': 0.9960803985595703, 'learning_rate': 0.00014779411764705882, 'epoch': 0.51}
{'loss': 6.6953, 'grad_norm': 0.7764487862586975, 'learning_rate': 0.00014558823529411762, 'epoch': 0.51}
{'loss': 6.4591, 'grad_norm': 0.7984639406204224, 'learning_rate': 0.00014338235294117648, 'epoch': 0.52}
{'loss': 6.6886, 'grad_norm': 1.0268014669418335, 'learning_rate': 0.00014117647058823528, 'epoch': 0.53}
{'loss': 6.5581, 'grad_norm': 1.1694440841674805, 'learning_rate': 0.0001389705882352941, 'epoch': 0.54}
{'loss': 6.335, 'grad_norm': 0.7871875762939453, 'learning_rate': 0.00013676470588235292, 'epoch': 0.54}
{'loss': 6.5715, 'grad_norm': 1.2088567018508911, 'learning_rate': 0.00013455882352941175, 'epoch': 0.55}
{'loss': 6.3999, 'grad_norm': 1.4619853496551514, 'learning_rate': 0.00013235294117647058, 'epoch': 0.56}
{'loss': 6.4493, 'grad_norm': 0.9385430216789246, 'learning_rate': 0.0001301470588235294, 'epoch': 0.57}
{'loss': 6.4538, 'grad_norm': 0.9403099417686462, 'learning_rate': 0.0001279411764705882, 'epoch': 0.57}
{'loss': 6.5237, 'grad_norm': 0.9557520747184753, 'learning_rate': 0.00012573529411764704, 'epoch': 0.58}
{'loss': 6.5631, 'grad_norm': 1.033728003501892, 'learning_rate': 0.00012352941176470587, 'epoch': 0.59}
{'loss': 6.4414, 'grad_norm': 0.9939484596252441, 'learning_rate': 0.0001213235294117647, 'epoch': 0.6}
{'loss': 6.4324, 'grad_norm': 1.0333961248397827, 'learning_rate': 0.0001191176470588235, 'epoch': 0.6}
{'loss': 6.4315, 'grad_norm': 0.8572366833686829, 'learning_rate': 0.00011691176470588235, 'epoch': 0.61}
{'loss': 6.5718, 'grad_norm': 1.1154643297195435, 'learning_rate': 0.00011470588235294115, 'epoch': 0.62}
{'loss': 6.375, 'grad_norm': 0.7781885266304016, 'learning_rate': 0.0001125, 'epoch': 0.62}
{'loss': 6.501, 'grad_norm': 1.085426926612854, 'learning_rate': 0.00011029411764705883, 'epoch': 0.63}
{'loss': 6.5974, 'grad_norm': 0.7929308414459229, 'learning_rate': 0.00010808823529411763, 'epoch': 0.64}
{'loss': 6.4185, 'grad_norm': 0.785568118095398, 'learning_rate': 0.00010588235294117647, 'epoch': 0.65}
{'loss': 6.6323, 'grad_norm': 1.1151331663131714, 'learning_rate': 0.00010367647058823528, 'epoch': 0.65}
{'loss': 6.4345, 'grad_norm': 1.2142188549041748, 'learning_rate': 0.00010147058823529411, 'epoch': 0.66}
{'loss': 6.6016, 'grad_norm': 1.0931336879730225, 'learning_rate': 9.926470588235293e-05, 'epoch': 0.67}
{'loss': 6.4202, 'grad_norm': 0.8374999165534973, 'learning_rate': 9.705882352941176e-05, 'epoch': 0.68}
{'loss': 6.3636, 'grad_norm': 1.0058009624481201, 'learning_rate': 9.485294117647057e-05, 'epoch': 0.68}
{'loss': 6.5261, 'grad_norm': 2.0690090656280518, 'learning_rate': 9.26470588235294e-05, 'epoch': 0.69}
{'loss': 6.3008, 'grad_norm': 1.080851435661316, 'learning_rate': 9.044117647058822e-05, 'epoch': 0.7}
{'loss': 6.4651, 'grad_norm': 1.3110123872756958, 'learning_rate': 8.823529411764705e-05, 'epoch': 0.71}
{'loss': 6.7384, 'grad_norm': 0.9670729637145996, 'learning_rate': 8.602941176470587e-05, 'epoch': 0.71}
